Author Last,Author First,Title,ISBN1,ISBN2,ISBN3,Pub City,Publisher,Pub Date,HEB ID,Subject Category,URL
Palmer, Robert C.,"The county courts of medieval England, 1150-1350",,,,"Princeton, N.J.",Princeton University Press,1982-01-01,HEB00180.0001.001,European: 400-1400,https://hdl.handle.net/2027/heb00180.0001.001,9780691198149
Caton, Steven Charles,"""Peaks of Yemen I summon"": poetry as cultural practice in a North Yemeni tribe",,,,Berkeley,University of California Press,1990-01-01,HEB00222.0001.001,European: General & Multiperiod,https://hdl.handle.net/2027/heb00222.0001.001,9780520082618
Butler, Jon,Awash in a sea of faith: Christianizing the American people,,,,"Cambridge, Mass.",Harvard University Press,1992-01-01,HEB00221.0001.001,American: General & Multiperiod,https://hdl.handle.net/2027/heb00221.0001.001,9780674056015
Bennett, Edward W,"German rearmament and the West, 1932-1933",,,,"Princeton, N.J.",Princeton University Press,1979-01-01,HEB00212.0001.001,Military History,https://hdl.handle.net/2027/heb00212.0001.001,9781400871995
Brinkley, George A,"The Volunteer Army and Allied intervention in South Russia, 1917-1921: a study in the politics and diplomacy of the Russian Civil War",,,,"Notre Dame, Ind.",University of Notre Dame Press,1966-01-01,HEB00220.0001.001,European: Russia & Eastern,https://hdl.handle.net/2027/heb00220.0001.001
McChesney, R. D.,"Waqf in Central Asia: four hundred years in the history of a Muslim shrine, 1480-1889",,,,"Princeton, N.J.",Princeton University Press,1991-01-01,HEB00284.0001.001,Middle Eastern: 632-1918,https://hdl.handle.net/2027/heb00284.0001.001,9781400861965
Messick, Brinkley Morris,The calligraphic state: textual domination and history in a Muslim society,,,,Berkeley,University of California Press,1993-01-01,HEB00285.0001.001,Middle Eastern: General & Multiperiod,https://hdl.handle.net/2027/heb00285.0001.001,9780520917828
May, Ernest R,"The World War and American isolation, 1914-1917",,,,Cambridge,Harvard University Press,1959-01-01,HEB00283.0001.001,American: 1900-present,https://hdl.handle.net/2027/heb00283.0001.001,9780674429895
Khalidi, Tarif,Arabic historical thought in the classical period,,,,New York,Cambridge University Press,1994-01-01,HEB00265.0001.001,Middle Eastern: Ancient to 632,https://hdl.handle.net/2027/heb00265.0001.001,9780521589383
White, Richard,"The middle ground: Indians, empires, and republics in the Great Lakes region, 1650-1815",,,,New York,Cambridge University Press,2011-01-01,HEB00334.0001.001,American: Colonial to 1789,https://hdl.handle.net/2027/heb00334.0001.001,9781107005624
Weinberg, Gerhard L,A world at arms: a global history of World War II,,,,Cambridge [Eng.],Cambridge University Press,1994-01-01,HEB00331.0001.001,European: 1800-present,https://hdl.handle.net/2027/heb00331.0001.001,9781139086059
Wood, Peter H.,Black majority: Negroes in colonial South Carolina from 1670 through the Stono Rebellion,,,,New York,Alfred A. Knopf,1975-01-01,HEB00338.0001.001,American: Colonial to 1789,https://hdl.handle.net/2027/heb00338.0001.001,9780394483962
Wandycz, Piotr Stefan,"France and her eastern allies, 1919-1925: French-Czechoslovak-Polish relations from the Paris Peace Conference to Locarno",,,,Minneapolis,University of Minnesota Press,1962-01-01,HEB00326.0001.001,European: Russia & Eastern,https://hdl.handle.net/2027/heb00326.0001.001
Bachrach, Bernard S.,Early medieval Jewish policy in Western Europe,,,,Minneapolis,University of Minnesota Press,1977-01-01,HEB01521.0001.001,European: 400-1400,https://hdl.handle.net/2027/heb01521.0001.001,9780816661251
Link, Arthur Stanley,"Wilson: campaigns for progressivism and peace, Vol. 5",,,,"Princeton, N.J.",Princeton University Press,1947-01-01,HEB01547.0005.001,American: 1900-present,https://hdl.handle.net/2027/heb01547.0005.001,9781400879496
Davies, Wendy,Wales in the early Middle Ages,,,,London,Bloomsbury,1982-01-01,HEB01520.0001.001,European: 400-1400,https://hdl.handle.net/2027/heb01520.0001.001,9780718512354
Link, Arthur Stanley,"Wilson: confusions and crises, Vol. 4",,,,"Princeton, N.J.",Princeton University Press,1947-01-01,HEB01547.0004.001,American: 1900-present,https://hdl.handle.net/2027/heb01547.0004.001,9781400879502
,,After colonialism: imperial histories and postcolonial displacements,,,,"Princeton, N.J.",Princeton University Press,1995-01-01,HEB01764.0001.001,European: General & Multiperiod,https://hdl.handle.net/2027/heb01764.0001.001,9781400821440
Sanchez, George J.,"Becoming Mexican American: ethnicity, culture and identity in Chicano Los Angeles, 1900-1945",,,,New York,Oxford University Press,1993-01-01,HEB01788.0001.001,Latin American,https://hdl.handle.net/2027/heb01788.0001.001,9780199762231
Ebrey, Patricia Buckley,The inner quarters: marriage and the lives of Chinese women in the Sung period,,,,Berkeley,University of California Press,1993-01-01,HEB01695.0001.001,Asian: China and Inner Asia,https://hdl.handle.net/2027/heb01695.0001.001,9780520913486
Lewis, Bernard,The Arabs in history,,,,Oxford [England],Oxford University Press,1993-01-01,HEB01782.0001.001,Middle Eastern: General & Multiperiod,https://hdl.handle.net/2027/heb01782.0001.001,9780192852588
Shaw, Stanford J.,"History of the Ottoman Empire and modern Turkey, Vol. 1",,,,Cambridge,Cambridge University Press,1976-01-01,HEB01919.0001.001,Middle Eastern: General & Multiperiod,https://hdl.handle.net/2027/heb01919.0001.001,9780521291637
Appleby, Joyce Oldham,Liberalism and republicanism in the historical imagination,,,,"Cambridge, Mass.",Harvard University Press,1992-01-01,HEB01942.0001.001,American: Colonial to 1789,https://hdl.handle.net/2027/heb01942.0001.001,9780674530133
Blackbourn, David,"The long nineteenth century: a history of Germany, 1780-1918",,,,New York,Oxford University Press,1998-01-01,HEB01947.0001.001,European: 1800-present,https://hdl.handle.net/2027/heb01947.0001.001,9780195076721
Dowling, Linda C.,Hellenism and homosexuality in Victorian Oxford,,,,Ithaca,Cornell University Press,1994-01-01,HEB01904.0001.001,LGBT/Queer Studies,https://hdl.handle.net/2027/heb01904.0001.001,9780801481703
Browne, Edward Granville,"A literary history of Persia, Vol. 4",,,,"Bethesda, Md.",Iranbooks,1997-01-01,HEB02083.0004.001,Middle Eastern: General & Multiperiod,https://hdl.handle.net/2027/heb02083.0004.001,9780936347653
Browne, Edward Granville,"A literary history of Persia, Vol. 2",,,,"Bethesda, Md.",Iranbooks,1997-01-01,HEB02083.0002.001,Middle Eastern: General & Multiperiod,https://hdl.handle.net/2027/heb02083.0002.001,9780936347639
Restall, Matthew,Maya Conquistador,,,,Boston,Beacon Press,1998-01-01,HEB02103.0001.001,Latin American,https://hdl.handle.net/2027/heb02103.0001.001,9780807055076
Browne, Edward Granville,"A literary history of Persia, Vol. 3",,,,"Bethesda, Md.",Iranbooks,1997-01-01,HEB02083.0003.001,Middle Eastern: General & Multiperiod,https://hdl.handle.net/2027/heb02083.0003.001,9780936347646
,,Late quaternary environments of the Soviet Union,,,,Minneapolis,University of Minnesota Press,1984-01-01,HEB02321.0001.001,European: Russia & Eastern,https://hdl.handle.net/2027/heb02321.0001.001,9780816669493
Marchand, Suzanne L.,"Down from Olympus: archaeology and philhellenism in Germany, 1750-1970",,,,"Princeton, N.J.",Princeton University Press,2003-01-01,HEB02307.0001.001,European: 1800-present,https://hdl.handle.net/2027/heb02307.0001.001,9781400843688
Abu-Lughod, Janet L.,Cairo: 1001 years of the city victorious,,,,"Princeton, N.J.",Princeton University Press,1971-01-01,HEB02308.0001.001,Middle Eastern: General & Multiperiod,https://hdl.handle.net/2027/heb02308.0001.001,9780691656601
Mellars, Paul,The Neanderthal legacy: an archaeological perspective from western Europe,,,,"Princeton, N.J.",Princeton University Press,1996-01-01,HEB02319.0001.001,European: Ancient to 400 C.E.,https://hdl.handle.net/2027/heb02319.0001.001,9781400843602
Basham, A. L.,The wonder that was India: a survey of the culture of the Indian sub-continent before the coming of the Muslims,,,,New York,Grove,1959-01-01,HEB02419.0001.001,Asian: South and Southeast,https://hdl.handle.net/2027/heb02419.0001.001,9781597400084
,,Colonial modernity in Korea,,,,"Cambridge, Mass.",Harvard University Asia Center,1999-01-01,HEB02416.0001.001,"Asian: Northeast (Japan, Korea)",https://hdl.handle.net/2027/heb02416.0001.001,9781684173334
Chatterjee, Partha,Nationalist thought and the colonial world: a derivative discourse,,,,London,Zed Books,1993-01-01,HEB02425.0001.001,Asian: South and Southeast,https://hdl.handle.net/2027/heb02425.0001.001,9780862325534
Davis, Richard H.,Lives of Indian images,,,,"Princeton, NJ",Princeton University Press,1999-01-01,HEB02429.0001.001,Asian: South and Southeast,https://hdl.handle.net/2027/heb02429.0001.001,9780691026220
Law, Robin,"The Ọyọ Empire, c.1600-c.1836: a West African imperialism in the era of the Atlantic slave trade",,,,"Aldershot, England",Gregg Revivals,1991-01-01,HEB02618.0001.001,African,https://hdl.handle.net/2027/heb02618.0001.001,9780751200065
Klein, Martin A.,Slavery and colonial rule in French West Africa,,,,Cambridge [England],Cambridge University Press,1998-01-01,HEB02625.0001.001,African,https://hdl.handle.net/2027/heb02625.0001.001,9780521596787
Hassen, Mohammed,"The Oromo of Ethiopia: a history, 1570-1860",,,,Cambridge [England],Cambridge University Press,1990-01-01,HEB02601.0001.001,African,https://hdl.handle.net/2027/heb02601.0001.001,9780521380119
Hodgkin, Thomas,Nationalism in colonial Africa,,,,London,Frederick Muller,1956-01-01,HEB02608.0001.001,African,https://hdl.handle.net/2027/heb02608.0001.001
Viggiano, Alfredo,Governanti e governati: legittimità del potere ed esercizio dell'autorità sovrana nello Stato veneto della prima età moderna,,,,Treviso,Fondazione Benetton,1993-01-01,HEB02699.0001.001,European: General & Multiperiod,https://hdl.handle.net/2027/heb02699.0001.001,9788886177092
Hart, John M.,Revolutionary Mexico: the coming and process of the Mexican Revolution,,,,Berkeley,University of California Press,1987-01-01,HEB02702.0001.001,Latin American,https://hdl.handle.net/2027/heb02702.0001.001,9780520067448
King, Margaret L.,Venetian humanism in an age of patrician dominance,,,,"Princeton, N.J.",Princeton University Press,1986-01-01,HEB02691.0001.001,European: 400-1400,https://hdl.handle.net/2027/heb02691.0001.001,9780691054650
Finlay, Robert,Politics in Renaissance Venice,,,,"New Brunswick, N.J.",Rutgers University Press,1980-01-01,HEB02690.0001.001,European: 1400-1800,https://hdl.handle.net/2027/heb02690.0001.001,9780813508887
Vasiliev, A. A.,"Byzance et les Arabes, Vol. 2, Book 2",,,,Bruxelles,Institut de philologie et d'histoire orientales,1935-01-01,HEB03018.0002.002,Byzantine (Mediterranean),https://hdl.handle.net/2027/heb03018.0002.002
Meyendorff, John,Byzantine theology: historical trends and doctrinal themes,,,,New York,Fordham University Press,1983-01-01,HEB03027.0001.001,Byzantine (Mediterranean),https://hdl.handle.net/2027/heb03027.0001.001,9780823209675
Patlagean, Evelyne,"Pauvreté économique et pauvreté sociale à Byzance, 4e-7e siècles",,,,Paris,Mouton,1977-01-01,HEB02989.0001.001,Byzantine (Mediterranean),https://hdl.handle.net/2027/heb02989.0001.001,9789027979339
Vasiliev, A. A.,"Byzance et les Arabes, Vol. 3, Book 1",,,,Bruxelles,Institut de philologie et d'histoire orientales,1935-01-01,HEB03018.0003.001,Byzantine (Mediterranean),https://hdl.handle.net/2027/heb03018.0003.001
,,War in the tribal zone: expanding states and indigenous warfare,,,,"Santa Fe, N.M.",School of American Research Press,2000-01-01,HEB03246.0001.001,Comparative/World,https://hdl.handle.net/2027/heb03246.0001.001,9780933452800
Olschki, Leonardo,"Marco Polo's Asia: an introduction to his ""Description of the world"" called ""Il milione""",,,,Berkeley,University of California Press,1960-01-01,HEB03200.0001.001,Comparative/World,https://hdl.handle.net/2027/heb03200.0001.001,9780520009752
Crone, Patricia,Pre-industrial societies: anatomy of the pre-modern world,,,,London,Oneworld,2015-01-01,HEB03230.0001.001,Comparative/World,https://hdl.handle.net/2027/heb03230.0001.001,9781780748047
McNeill, William Hardy,The human condition: an ecological and historical view,,,,"Princeton, N.J.",Princeton University Press,1980-01-01,HEB03217.0001.001,Comparative/World,https://hdl.handle.net/2027/heb03217.0001.001,9780691053172
Jalland, Patricia,"Australian ways of death: a social and cultural history, 1840-1918",,,,Melbourne,Oxford University Press,2002-01-01,HEB03436.0001.001,Australasian/Oceanian,https://hdl.handle.net/2027/heb03436.0001.001,9780195507546
Davison, Graeme,The unforgiving minute: how Australians learned to tell the time,,,,Melbourne,Oxford University Press,1993-01-01,HEB03421.0001.001,Australasian/Oceanian,https://hdl.handle.net/2027/heb03421.0001.001,9780195534962
Breward, Ian,A history of the churches in Australasia,,,,Oxford [England],Oxford University Press,2001-01-01,HEB03415.0001.001,Australasian/Oceanian,https://hdl.handle.net/2027/heb03415.0001.001,9780198263562
Higman, B. W.,Domestic service in Australia,,,,"Carlton South, Vic.",Melbourne University Press,2002-01-01,HEB03431.0001.001,Australasian/Oceanian,https://hdl.handle.net/2027/heb03431.0001.001,9780522850116
,,Histories and historicities in Amazonia,,,,Lincoln,University of Nebraska Press,2003-01-01,HEB03502.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03502.0001.001,9780803298170
Perdue, Theda,"Cherokee women: gender and culture change, 1700-1835",,,,Lincoln,University of Nebraska Press,1998-01-01,HEB03498.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03498.0001.001,9780803287600
Russell, Penny A.,A wish of distinction : colonial gentility and femininity,,,,"Carlton, Vic.",Melbourne University Press,1994-01-01,HEB03455.0001.001,Australasian/Oceanian,https://hdl.handle.net/2027/heb03455.0001.001,9780522845525
Festugière, A. J.,Epicurus and his gods: Épicure et ses dieux,,,,"Cambridge, Mass.",Harvard University Press,1956-01-01,HEB03465.0001.001,Comparative/World,https://hdl.handle.net/2027/heb03465.0001.001
Carstens, Peter,"The Queen's people: a study of hegemony, coercion, and accommodation among the Okanagan of Canada",,,,Toronto,University of Toronto Press,1991-01-01,HEB03538.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03538.0001.001,9781442664661
Jones, Grant D.,The conquest of the last Maya kingdom,,,,"Stanford, Calif.",Stanford University Press,1998-01-01,HEB03515.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03515.0001.001,9780804779326
Nagel, Joane,"Race, ethnicity, and sexuality: intimate intersections, forbidden frontiers",,,,New York,Oxford University Press,2003-01-01,HEB03513.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03513.0001.001,9780195127478
Whitehead, Neil L,Dark shamans: kanaimà and the poetics of violent death,,,,"Durham, NC",Duke University Press,2002-01-01,HEB03520.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03520.0001.001,9780822384304
Borah, Woodrow Wilson,Justice by insurance: the General Indian Court of Colonial Mexico and the legal aides of the half-real,,,,Berkeley,University of California Press,1983-01-01,HEB03679.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03679.0001.001,9780520048454
Dunlay, Thomas W.,"Wolves for the blue soldiers: Indian scouts and auxiliaries with the United States Army, 1860-90",,,,Lincoln,University of Nebraska Press,1982-01-01,HEB03671.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03671.0001.001,9780803265738
Urton, Gary,The history of a myth: Pacariqtambo and the origin of the Inkas,,,,Austin,University of Texas Press,1990-01-01,HEB03637.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03637.0001.001,9780292785656
Will, George F.,Corn among the Indians of the upper Missouri,,,,Lincoln,University of Nebraska Press,1964-01-01,HEB03673.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03673.0001.001,9780803298262
Hertzberg, Hazel W.,The search for an American Indian identity: modern Pan-Indian movements,,,,Syracuse,Syracuse University Press,1971-01-01,HEB03809.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03809.0001.001,9780815622451
Clendinnen, Inga,Aztecs: an interpretation,,,,Cambridge [U.K.],Cambridge University Press,1995-01-01,HEB03830.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03830.0001.001,9781139950909
Kent, Kate Peck,Navajo weaving: three centuries of change,,,,"Santa Fe, N.M.",School of American Research Press,2002-01-01,HEB03821.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03821.0001.001,9780933452138
Drucker, Philip,Indians of the Northwest coast,,,,"Garden City, N.Y.",Natural History Press,1963-01-01,HEB03815.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03815.0001.001,9780385024433
Nevins, Allan,"Ford, Vol. 2",,,,New York,Scribner,1954-01-01,HEB04045.0002.001,American: 1900-present,https://hdl.handle.net/2027/heb04045.0002.001
Armi, C. Edson,"The art of American car design: the profession and personalities : ""not simple like Simon""",,,,University Park,Pennsylvania State University Press,1988-01-01,HEB04041.0001.001,American: 1900-present,https://hdl.handle.net/2027/heb04041.0001.001,9780271004792
Nevins, Allan,"Ford, Vol. 3",,,,New York,Scribner,1954-01-01,HEB04045.0003.001,American: 1900-present,https://hdl.handle.net/2027/heb04045.0003.001,9781597407748
Skinner, Quentin,"The foundations of modern political thought, Vol. 2",,,,Cambridge,Cambridge University Press,1978-01-01,HEB04034.0002.001,Comparative/World,https://hdl.handle.net/2027/heb04034.0002.001,9781139381802
Jansen, Katherine Ludwig,The making of the Magdalen: preaching and popular devotion in the later Middle Ages,,,,"Princeton, N.J.",Princeton University Press,2001-01-01,HEB04169.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04169.0001.001,9780691089874
McNamara, Jo Ann,Sisters in arms: Catholic nuns through two millennia,,,,"Cambridge, Mass.",Harvard University Press,1998-01-01,HEB04196.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04196.0001.001,9780674809857
Gilmartin, Christina K.,"Engendering the Chinese revolution: radical women, communist politics, and mass movements in the 1920s",,,,Berkeley,University of California Press,1995-01-01,HEB04238.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04238.0001.001,9780520203464
Yü, Chün-fang,Kuan-yin: the Chinese transformation of Avalokiteśvara,,,,New York,Columbia University Press,2001-01-01,HEB04227.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04227.0001.001,9780231502757
Heineman, Elizabeth D.,What difference does a husband make?: women and marital status in Nazi and postwar Germany,,,,Berkeley,University of California Press,1999-01-01,HEB04362.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04362.0001.001,9780520937314
Desan, Suzanne,The family on trial in revolutionary France,,,,Berkeley,University of California Press,2004-01-01,HEB04360.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04360.0001.001,9780520939769
Horowitz, Daniel,"Betty Friedan and the making of The feminine mystique: the American left, the cold war, and modern feminism",,,,Amherst,University of Massachusetts Press,1998-01-01,HEB04374.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04374.0001.001,9781558492769
Wood, Elizabeth A.,The baba and the comrade: gender and politics in revolutionary Russia,,,,Bloomington,Indiana University Press,1997-01-01,HEB04369.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04369.0001.001,9780253333117
Formichella Elsden, Annamaria,Roman fever: domesticity and nationalism in nineteenth-century American women's writing,,,,Columbus,The Ohio State University Press,2004-01-01,HEB33223.0001.001,Women's Studies,https://hdl.handle.net/2027/heb33223.0001.001,9780814251171
Young, Kay,"Ordinary pleasures: couples, conversation, and comedy",,,,Columbus,The Ohio State University Press,2001-01-01,HEB33221.0001.001,Literature,https://hdl.handle.net/2027/heb33221.0001.001,9780814250822
Caminero-Santangelo, Byron,"Different shades of green: African literature, environmental justice, and political ecology",,,,Charlottesville,The University of Virginia Press,2014-01-01,HEB33240.0001.001,African,https://hdl.handle.net/2027/heb33240.0001.001,9780813936079
Rigby, Kate,"Dancing with disaster: environmental histories, narratives, and ethics for perilous times",,,,Charlottesville,The University of Virginia Press,2015-01-01,HEB33238.0001.001,Environmental History,https://hdl.handle.net/2027/heb33238.0001.001,9780813936901
Morgan, Edmund S.,"The gentle Puritan: a life of Ezra Stiles, 1727-1795",,,,New York,W. W. Norton,1984-01-01,HEB00014.0001.001,American: Colonial to 1789,https://hdl.handle.net/2027/heb00014.0001.001,9780393301267
May, Arthur James,"The Hapsburg Monarchy, 1867-1914",,,,New York,W. W. Norton,1968-01-01,HEB00166.0001.001,European: 1800-present,https://hdl.handle.net/2027/heb00166.0001.001
Burke, Peter,Popular culture in early modern Europe,,,,New York,Harper,1978-01-01,HEB00020.0001.001,European: 1400-1800,https://hdl.handle.net/2027/heb00020.0001.001,9780061319280
Morgan, Edmund S.,"The meaning of independence: John Adams, George Washington, and Thomas Jefferson",,,,Charlottesville,The University of Virginia Press,2004-01-01,HEB00033.0001.001,American: Colonial to 1789,https://hdl.handle.net/2027/heb00033.0001.001,9780813922652
Johnson, Arthur Menzies,"The development of American petroleum pipelines: a study in private enterprise and public policy, 1862-1906",,,,"Ithaca, N.Y.",Cornell University Press,1956-01-01,HEB00262.0001.001,American: 1789-1899,https://hdl.handle.net/2027/heb00262.0001.001
Fox, Daniel M,The discovery of abundance: Simon N. Patten and the transformation of social theory,,,,"Ithaca, N.Y.",Cornell University Press,1967-01-01,HEB00245.0001.001,American: General & Multiperiod,https://hdl.handle.net/2027/heb00245.0001.001,9781597403931
Graham, Ian Charles Cargill,"Colonists from Scotland: emigration to North America, 1707-1783",,,,"Ithaca, N. Y.",Cornell University Press,1956-01-01,HEB00249.0001.001,American: Colonial to 1789,https://hdl.handle.net/2027/heb00249.0001.001
Horton, John Theodore,"James Kent: a study in conservatism, 1763-1847",,,,New York,D. Appleton-Century,1939-01-01,HEB00259.0001.001,American: 1789-1899,https://hdl.handle.net/2027/heb00259.0001.001,9781597403955
Craig, Gordon Alexander,"Germany, 1866-1945",,,,Oxford,Oxford University Press,1999-01-01,HEB00821.0001.001,European: 1800-present,https://hdl.handle.net/2027/heb00821.0001.001,9780198221135
Bragdon, Henry W.,Woodrow Wilson: the academic years,,,,"Cambridge, Mass.",Harvard University Press,1967-01-01,HEB00763.0001.001,American: 1900-present,https://hdl.handle.net/2027/heb00763.0001.001,9780674955950
Commager, Henry Steele,The empire of reason: how Europe imagined and America realized the enlightenment,,,,"Garden City, N.Y.",Anchor Press,1977-01-01,HEB00820.0001.001,European: 1400-1800,https://hdl.handle.net/2027/heb00820.0001.001,9780385120036
Hoopes, Townsend,The limits of intervention: an inside account of how the Johnson policy of escalation in Vietnam was reversed,,,,New York,David McKay,1969-01-01,HEB00779.0001.001,American: 1900-present,https://hdl.handle.net/2027/heb00779.0001.001
Mathisen, Ralph W.,Ecclesiastical factionalism and religious controversy in fifth-century Gaul,,,,"Washington, D.C.",The Catholic University of America Press,1989-01-01,HEB01117.0001.001,European: 400-1400,https://hdl.handle.net/2027/heb01117.0001.001,9780813206585
D'Avray, D. L.,The preaching of the friars: sermons diffused from Paris before 1300,,,,Oxford,Oxford University Press,1985-01-01,HEB01183.0001.001,European: 400-1400,https://hdl.handle.net/2027/heb01183.0001.001,9780198227724
Reynolds, Susan,Fiefs and vassals: the medieval evidence reinterpreted,,,,Oxford,Oxford University Press,2001-01-01,HEB01073.0001.001,European: 400-1400,https://hdl.handle.net/2027/heb01073.0001.001,9780198206484
Mumford, Lewis,Technics and civilization,,,,New York,Harcourt Brace Jovanovich,1934-01-01,HEB01149.0001.001,Science & Technology,https://hdl.handle.net/2027/heb01149.0001.001
Zeldin, Theodore,"France, 1848-1945, Vol. 2",,,,Oxford,Oxford University Press,1973-01-01,HEB01325.0002.001,European: 1800-present,https://hdl.handle.net/2027/heb01325.0002.001,9780198221258
Wortman, Richard,The development of a Russian legal consciousness,,,,Chicago,The University of Chicago Press,1976-01-01,HEB01324.0001.001,European: Russia & Eastern,https://hdl.handle.net/2027/heb01324.0001.001,9780226907772
Goldberg, Harvey,The life of Jean Jaures,,,,Madison,The University of Wisconsin Press,1962-01-01,HEB01297.0001.001,European: 1800-present,https://hdl.handle.net/2027/heb01297.0001.001,9780299025649
Zeldin, Theodore,"France, 1848-1945, Vol. 1",,,,Oxford,Oxford University Press,1973-01-01,HEB01325.0001.001,European: 1800-present,https://hdl.handle.net/2027/heb01325.0001.001,9780198221043
,,"Readings in Russian civilization: Vol. 3: Soviet Russia, 1917-present",,,,Chicago,The University of Chicago Press,1969-01-01,HEB01993.0003.001,European: Russia & Eastern,https://hdl.handle.net/2027/heb01993.0003.001,9780226718576
,,"Readings in Russian civilization: Vol. 2: Imperial Russia, 1700-1917",,,,Chicago,The University of Chicago Press,1969-01-01,HEB01993.0002.001,European: Russia & Eastern,https://hdl.handle.net/2027/heb01993.0002.001,9780226718569
,,"Readings in Russian civilization: Vol. 1: Russia Before Peter the Great, 900-1700",,,,Chicago,The University of Chicago Press,1969-01-01,HEB01993.0001.001,European: Russia & Eastern,https://hdl.handle.net/2027/heb01993.0001.001,9780226718569
Greene, Jack P.,Understanding the American Revolution: issues and actors,,,,Charlottesville,The University of Virginia Press,1995-01-01,HEB02044.0001.001,American: Colonial to 1789,https://hdl.handle.net/2027/heb02044.0001.001,9780813916095
Ford, John,The role of the trypanosomiases in African ecology: a study of the tsetse fly problem,,,,Oxford [England],Oxford University Press,1971-01-01,HEB02594.0001.001,African,https://hdl.handle.net/2027/heb02594.0001.001,9780198543756
Daaku, K. Y.,"Trade and politics on the Gold Coast, 1600-1720: a study of the African reaction to European trade",,,,Oxford,Oxford University Press,1970-01-01,HEB02582.0001.001,African,https://hdl.handle.net/2027/heb02582.0001.001,9780198216537
Dike, K. Onwuka,"Trade and politics in the Niger Delta, 1830-1885: an introduction to the economic and political history of Nigeria",,,,Oxford,Oxford University Press,1956-01-01,HEB02585.0001.001,African,https://hdl.handle.net/2027/heb02585.0001.001
Curtin, Philip D.,Economic change in precolonial Africa: Senegambia in the era of the slave trade,,,,Madison,The University of Wisconsin Press,1975-01-01,HEB02581.0001.001,African,https://hdl.handle.net/2027/heb02581.0001.001,9780299066406
Ringrose, Kathryn M.,The perfect servant: eunuchs and the social construction of gender in Byzantium,,,,Chicago,The University of Chicago Press,2003-01-01,HEB02953.0001.001,Byzantine (Mediterranean),https://hdl.handle.net/2027/heb02953.0001.001,9780226720166
Setton, Kenneth M.,Athens in the Middle Ages,,,,London,Variorum,1975-01-01,HEB02920.0001.001,Byzantine (Mediterranean),https://hdl.handle.net/2027/heb02920.0001.001,9780902089846
Zakythēnos, Dionysios A.,"Le despotat grec de Morée, Vol. 1",,,,Paris,"Société d'édition ""Les Belles Lettres""",1932-01-01,HEB02921.0001.001,Byzantine (Mediterranean),https://hdl.handle.net/2027/heb02921.0001.001
Zakythēnos, Dionysios A.,"Le despotat grec de Morée, Vol. 2",,,,Paris,"Société d'édition ""Les Belles Lettres""",1932-01-01,HEB02921.0002.001,Byzantine (Mediterranean),https://hdl.handle.net/2027/heb02921.0002.001
Taussig, Michael T.,"Shamanism, colonialism, and the wild man: a study in terror and healing",,,,Chicago,The University of Chicago Press,1986-01-01,HEB03601.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03601.0001.001,9780226790138
Sahlins, Marshall David,"How ""natives"" think: about Captain Cook, for example",,,,Chicago,The University of Chicago Press,1995-01-01,HEB03589.0001.001,Australasian/Oceanian,https://hdl.handle.net/2027/heb03589.0001.001,9780226733715
Hunt, George T,The wars of the Iroquois: a study in intertribal trade relations,,,,"Madison, Wis.",The University of Wisconsin Press,1978-01-01,HEB03534.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03534.0001.001,9780299001643
Schwerin, Karl H.,Oil and steel: processes of Karinya culture in response to industrial development,,,,Los Angeles,University of California Press,1966-01-01,HEB03602.0001.001,Native Peoples of the Americas,https://hdl.handle.net/2027/heb03602.0001.001
Hahn, Steven,A nation under our feet: black political struggles in the rural South from slavery to the great migration,,,,"Cambridge, Mass.",Harvard University Press,2005-01-01,HEB03953.0001.001,American: 1789-1899,https://hdl.handle.net/2027/heb03953.0001.001,9780674017658
Orange, Claudia,The Treaty of Waitangi,,,,Wellington,Bridget Williams,1997-01-01,HEB03898.0001.001,Australasian/Oceanian,https://hdl.handle.net/2027/heb03898.0001.001,9780868616346
